Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Folate, total","Vitamin C, total ascorbic acid",Niacin,Vitamin B-6,Riboflavin,Thiamin,Pantothenic acid,"Vitamin A, RAE",Vitamin D (D2 + D3),Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tyrosine,Valine,"PUFA 18:3 n-3 c,c,c (ALA)",PUFA 20:5 n-3 (EPA),PUFA 22:6 n-3 (DHA),"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total trans",Cholesterol
"Fish, bluefish, raw",124.0,70.9,20.0,4.24,0.0,1.04,7.0,372.0,0.81,36.5,0.021,227.0,33.0,0.053,0.48,60.0,2.0,0.0,5.95,0.402,0.08,0.058,0.828,120.0,,0.59,0.923,1.63,1.84,0.593,0.782,0.878,0.676,1.03,,0.252,0.519,0.915,1.79,1.06,,59.0
"Fish, burbot, raw",90.0,79.3,19.3,0.81,0.0,1.16,50.0,404.0,0.76,12.6,0.7,200.0,32.0,0.2,0.9,97.0,1.0,0.0,1.62,0.3,0.141,0.372,0.15,5.0,,0.569,0.89,1.57,1.77,0.572,0.754,0.847,0.652,0.995,,0.07,0.096,0.163,0.133,0.297,,60.0
"Fish, butterfish, raw",146.0,74.1,17.3,8.02,0.0,1.2,22.0,375.0,0.77,36.5,0.015,240.0,25.0,0.054,0.5,89.0,15.0,0.0,4.5,0.3,0.15,0.12,0.75,30.0,,0.509,0.796,1.4,1.59,0.512,0.675,0.758,0.583,0.89,,,,3.38,3.38,0.59,,65.0
"Fish, carp, raw",127.0,76.3,17.8,5.6,0.0,1.46,41.0,333.0,1.48,12.6,0.042,415.0,29.0,0.057,1.24,49.0,15.0,1.6,1.64,0.19,0.055,0.115,0.75,9.0,24.7,0.525,0.822,1.45,1.64,0.528,0.696,0.782,0.602,0.919,,0.238,0.114,1.08,2.33,1.43,,66.0
"Fish, cisco, raw",98.0,78.9,19.0,1.91,0.0,1.2,12.0,354.0,0.37,12.6,0.067,152.0,17.0,0.072,0.4,55.0,15.0,0.0,2.51,0.3,0.1,0.088,0.75,30.0,,0.559,0.875,1.54,1.74,0.562,0.741,0.832,0.641,0.978,,0.095,0.257,0.421,0.469,0.613,,50.0
"Fish, cusk, raw",87.0,76.4,19.0,0.69,0.0,1.25,10.0,392.0,0.38,36.5,0.015,204.0,31.0,0.018,0.83,31.0,2.0,0.0,2.69,0.387,0.133,0.042,0.279,18.0,,0.559,0.875,1.54,1.74,0.562,0.742,0.833,0.641,0.979,,,,0.13,0.09,0.28,,41.0
"Fish, haddock, raw",74.0,83.4,16.3,0.45,0.0,1.28,11.0,286.0,0.32,25.9,0.011,227.0,21.0,0.021,0.17,213.0,12.0,0.0,3.36,0.281,0.057,0.02,0.403,17.0,0.5,0.557,0.871,1.54,1.74,0.56,0.738,0.829,0.638,0.974,0.002,0.042,0.089,0.091,0.061,0.166,0.004,54.0
"Fish, ling, raw",87.0,79.6,19.0,0.64,0.0,1.4,34.0,379.0,0.78,36.5,0.03,198.0,63.0,0.11,0.65,135.0,7.0,0.0,2.3,0.304,0.19,0.11,0.32,30.0,,0.559,0.875,1.54,1.74,0.562,0.741,0.832,0.641,0.978,,,,0.12,0.09,0.22,,40.0
"Fish, lingcod, raw",85.0,81.0,17.7,1.06,0.0,1.21,14.0,437.0,0.45,36.5,0.02,201.0,26.0,0.027,0.32,59.0,9.0,0.0,1.9,0.3,0.114,0.03,0.75,15.0,,0.52,0.814,1.44,1.62,0.523,0.689,0.774,0.596,0.91,,0.0,0.0,0.197,0.35,0.3,,52.0
"Fish, mahimahi, raw",85.0,77.6,18.5,0.7,0.0,2.1,15.0,416.0,0.46,36.5,0.015,143.0,30.0,0.041,1.13,88.0,5.0,0.0,6.1,0.4,0.07,0.02,0.75,54.0,,0.545,0.852,1.5,1.7,0.548,0.722,0.811,0.625,0.953,,0.02,0.088,0.188,0.121,0.165,,73.0
"Fish, milkfish, raw",148.0,70.8,20.5,6.73,0.0,1.14,51.0,292.0,0.82,12.6,0.02,162.0,30.0,0.034,0.32,72.0,16.0,0.0,6.44,0.423,0.054,0.013,0.75,30.0,,0.604,0.946,1.67,1.89,0.608,0.802,0.9,0.693,1.06,,,,1.66,2.58,1.84,,52.0
"Fish, monkfish, raw",76.0,83.2,14.5,1.52,0.0,1.21,8.0,400.0,0.41,36.5,0.024,200.0,21.0,0.028,0.32,18.0,7.0,1.0,2.1,0.24,0.06,0.025,0.15,12.0,,0.426,0.667,1.18,1.33,0.429,0.565,0.635,0.489,0.746,,,,0.34,0.24,0.61,,25.0
"Fish, sablefish, raw",195.0,71.0,13.4,15.3,0.0,1.05,35.0,358.0,0.32,36.5,0.015,168.0,55.0,0.022,1.28,56.0,15.0,0.0,4.0,0.3,0.09,0.1,0.75,93.0,,0.395,0.618,1.09,1.23,0.397,0.524,0.588,0.453,0.691,,0.677,0.718,3.2,8.06,2.04,,49.0
"Fish, scup, raw",105.0,75.4,18.9,2.73,0.0,1.21,40.0,287.0,0.48,36.5,0.035,185.0,23.0,0.051,0.53,42.0,15.0,0.0,4.1,0.3,0.1,0.11,0.75,27.0,1.2,0.556,0.87,1.53,1.73,0.559,0.737,0.827,0.637,0.972,,0.104,0.53,0.64,0.56,1.03,,52.0
"Fish, sheepshead, raw",108.0,78.0,20.2,2.41,0.0,1.09,21.0,404.0,0.39,36.5,0.013,313.0,32.0,0.031,0.46,71.0,15.0,0.0,1.5,0.3,0.04,0.01,0.75,30.0,,0.595,0.931,1.64,1.86,0.598,0.789,0.886,0.682,1.04,,0.138,0.123,0.609,0.728,0.518,,50.0
"Fish, spot, raw",123.0,76.0,18.5,4.9,0.0,1.06,14.0,496.0,0.51,36.5,0.035,186.0,42.0,0.046,0.32,29.0,5.0,0.0,7.0,0.4,0.22,0.16,0.75,30.0,,0.545,0.853,1.5,1.7,0.548,0.723,0.812,0.625,0.954,,0.22,0.41,1.45,1.33,1.09,,60.0
"Fish, swordfish, raw",144.0,73.4,19.7,6.65,0.0,1.44,5.0,418.0,0.66,57.4,0.011,255.0,29.0,0.039,0.38,81.0,2.0,0.0,7.76,0.543,0.053,0.075,0.35,36.0,13.9,0.583,0.912,1.61,1.82,0.586,0.773,0.868,0.668,1.02,0.027,0.108,0.648,1.61,3.0,1.15,0.047,66.0
