Description,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference",Ash,"Calcium, Ca","Potassium, K","Zinc, Zn","Selenium, Se","Manganese, Mn","Phosphorus, P","Magnesium, Mg","Copper, Cu","Iron, Fe","Sodium, Na","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total trans",Cholesterol
"Chicken, breast, boneless, skinless, raw",106,74.8,22.5,1.93,-0.368,1.13,3.94,330,0.654,,0.0,215,26.2,0.00364,0.354,65.8,0.349,0.369,0.296,0.00875,72.7
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",166,65.3,32.1,3.24,0.0,1.19,6.0,343,0.96,31.9,0.012,241,32.0,0.044,0.49,47.0,1.01,1.26,0.766,0.013,116.0
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",156,69.9,23.9,5.95,0.0,0.98,12.0,239,2.54,27.9,0.018,184,22.4,0.063,0.94,117.0,1.6,2.35,1.24,0.03,127.0
"Chicken, ground, with additives, raw",133,74.7,17.9,7.16,0.0,0.969,5.82,302,1.18,,0.00502,166,20.5,0.0362,0.593,63.0,1.56,2.17,1.38,0.021,81.7
"Chicken, thigh, boneless, skinless, raw",144,72.9,18.6,7.92,-0.406,0.958,5.65,272,1.35,,0.0,178,21.8,0.0424,0.602,62.3,1.66,2.24,1.42,0.0238,91.7
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220,61.1,27.1,11.6,0.0,1.27,31.0,304,3.77,28.4,0.01,259,29.1,0.166,1.56,90.0,2.97,3.78,3.49,0.144,104.0
"Turkey, ground, 93% lean/ 7% fat, raw",153,72.9,17.3,9.59,0.0,0.945,23.6,246,2.95,,0.0158,162,17.3,0.0762,1.09,80.2,2.26,2.87,2.59,0.081,82.3
"Beef, ground, 80% lean meat / 20% fat, raw",243,62.8,17.5,19.4,0.0,0.828,6.89,273,3.85,,0.0,144,16.4,0.0551,1.96,54.9,6.84,7.25,0.485,0.7,67.7
"Beef, ground, 90% lean meat / 10% fat, raw",185,69.0,18.2,12.8,0.0,0.846,7.14,281,4.19,,0.0,148,16.5,0.0562,2.13,61.6,5.05,4.48,0.361,0.484,65.9
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",106,75.7,16.7,3.73,0.27,3.61,5.0,425,1.52,,0.0,261,18.8,0.05,0.58,1040.0,1.12,1.47,0.544,0.01,
"Frankfurter, beef, unheated",314,54.6,11.7,28.0,2.89,2.74,15.0,343,2.06,,0.031,128,11.5,0.046,1.14,872.0,11.4,12.1,0.954,1.59,
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328,51.7,13.3,28.7,3.37,2.97,35.0,263,2.14,11.6,0.174,124,19.7,0.075,1.55,866.0,11.3,12.7,1.91,1.18,61.0
"Sausage, Italian, pork, mild, cooked, pan-fried",322,50.9,18.2,26.2,2.15,2.63,12.0,310,2.41,20.2,0.033,145,18.6,0.074,1.29,766.0,9.15,11.6,4.96,0.1,80.0
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346,46.3,19.3,28.1,2.63,3.66,37.0,435,2.19,25.9,0.188,207,30.1,0.13,2.34,983.0,9.45,11.7,4.74,0.115,107.0
"Sausage, turkey, breakfast links, mild, raw",169,69.6,16.7,10.4,0.93,2.37,32.0,310,2.58,12.5,0.035,178,18.9,0.07,1.17,599.0,2.53,3.07,3.15,0.104,78.0
